id,l1,l2,useful_ratio,waste_cat,waste_root,pred_len
236,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,1856
237,Correct,N/A,0.95,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,3381
238,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1969
239,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2079
240,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,1318
241,Correct,N/A,0.6,Over-Verbose / Padding,Unnecessary Background & Commentary,4240
242,Correct,N/A,0.7,Over-Verbose / Padding,Unnecessary Background & Commentary,711
243,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Irrelevant Justification of Wrong Claims,2962
244,Correct,N/A,0.8,Over-Verbose / Padding,Excessive Narrative Detail,2020
245,Correct,N/A,0.8,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,2990
246,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,2160
247,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.6,Incorrect but Confident Reasoning,Irrelevant Justification of Wrong Claims,3820
248,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Causal Stories,1893
249,Correct,N/A,0.7,Over-Verbose / Padding,Unnecessary Background & Commentary,487
250,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucination / Fabrication,Fabricated Causal Stories,1489
251,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,850
252,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2498
253,Correct,N/A,0.8,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1350
254,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.2,Hallucination / Fabrication,Fabricated Causal Stories,2483
255,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,3145
256,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.05,Hallucination / Fabrication,Fabricated Timeline or Events,32767
257,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Irrelevant Justification of Wrong Claims,3273
258,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2972
259,Correct,N/A,0.7,Over-Verbose / Padding,Redundant Restatement,907
260,Correct,N/A,0.25,Over-Verbose / Padding,Redundant Restatement,32767
261,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,2475
262,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2091
263,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2231
264,Visual Perception Failure,Action / Event Misperception,0.2,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,3125
265,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.3,Incorrect but Confident Reasoning,Irrelevant Justification of Wrong Claims,1981
266,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1982
267,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,872
268,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1893
269,Correct,N/A,0.6,Over-Verbose / Padding,Unnecessary Background & Commentary,1940
270,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,613
271,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Over-Verbose / Padding,Excessive Narrative Detail,4447
272,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2120
273,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,1830
274,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1247
275,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Incorrect but Confident Reasoning,Irrelevant Justification of Wrong Claims,450
276,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2476
277,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,408
278,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1479
279,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,2319
280,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Incorrect but Confident Reasoning,Irrelevant Justification of Wrong Claims,1477
281,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Over-Verbose / Padding,Unnecessary Background & Commentary,794
282,Correct,N/A,0.7,Over-Verbose / Padding,Unnecessary Background & Commentary,747
283,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Over-Verbose / Padding,Excessive Narrative Detail,1500
284,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1995
285,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1788
286,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1302
287,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,4566
288,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant / Off-Target Reasoning,Background That Misses the Key Distinction,755
289,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1046
290,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.2,Hallucination / Fabrication,Fabricated Objects or Options,359
291,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Irrelevant / Off-Target Reasoning,Background That Misses the Key Distinction,1396
292,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1668
293,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,2378
294,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1872
295,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1964
296,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Irrelevant / Off-Target Reasoning,Background That Misses the Key Distinction,1733
297,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2968
298,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,2605
299,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Irrelevant / Off-Target Reasoning,Background That Misses the Key Distinction,2465
300,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1424
301,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,2816
302,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.6,Irrelevant / Off-Target Reasoning,Background That Misses the Key Distinction,1684
303,Correct,N/A,0.7,Over-Verbose / Padding,Redundant Restatement,1426
304,Visual Perception Failure,Object Presence / State Tracking Error,0.3,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,1575
305,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,3173
306,Correct,N/A,0.6,Over-Verbose / Padding,Unnecessary Background & Commentary,1686
307,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2070
308,Correct,N/A,0.6,Over-Verbose / Padding,Unnecessary Background & Commentary,3850
309,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2395
310,Visual Perception Failure,Action / Event Misperception,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,695
311,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,1168
312,Correct,N/A,0.7,Over-Verbose / Padding,Unnecessary Background & Commentary,1815
313,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1661
314,Visual Perception Failure,Action / Event Misperception,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,513
315,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,2726
316,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2358
317,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2108
318,Correct,N/A,0.7,Over-Verbose / Padding,Unnecessary Background & Commentary,3247
319,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2334
320,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,4017
321,Visual Perception Failure,Action / Event Misperception,0.4,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,2440
322,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.1,Over-Verbose / Padding,Redundant Restatement,32767
323,Correct,N/A,0.6,Over-Verbose / Padding,Unnecessary Background & Commentary,1396
324,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,2749
325,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,1292
326,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,2021
327,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2860
328,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2479
329,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2021
330,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.6,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2452
331,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2763
332,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,3063
333,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2156
334,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Irrelevant / Off-Target Reasoning,Background That Misses the Key Distinction,3130
335,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,2078
336,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,2121
337,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,2016
338,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,2139
339,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,1617
340,Visual Perception Failure,Object Presence / State Tracking Error,0.5,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,1201
341,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,2739
342,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1065
343,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,960
344,Correct,N/A,0.15,Over-Verbose / Padding,Redundant Restatement,32767
345,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Temporal Imprecision or Misalignment,3044
346,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.3,Hallucination / Fabrication,Fabricated Timeline or Events,1899
347,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,920
348,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.05,Hallucination / Fabrication,Fabricated Timeline or Events,32767
349,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1073
350,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,6608
351,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.4,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1465
352,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.3,Hallucination / Fabrication,Fabricated Timeline or Events,1051
353,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.2,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,7015
354,Correct,N/A,0.4,Over-Verbose / Padding,Redundant Restatement,3081
355,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,576
356,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2630
357,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1082
358,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.25,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,32767
359,Visual Perception Failure,Object Presence / State Tracking Error,0.05,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,32767
360,Correct,N/A,0.6,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1994
361,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.6,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2593
362,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1337
363,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,1872
364,Correct,N/A,0.8,Over-Verbose / Padding,Redundant Restatement,1507
365,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1073
366,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1151
367,Visual Perception Failure,Action / Event Misperception,0.3,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,786
368,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.5,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2270
369,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Over-Verbose / Padding,Redundant Restatement,631
370,Visual Perception Failure,Object Presence / State Tracking Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,802
371,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1070
372,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucination / Fabrication,Fabricated Causal Stories,733
373,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.4,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,1445
374,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucination / Fabrication,Fabricated Timeline or Events,1082
375,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1619
376,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,562
377,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Hallucination / Fabrication,Fabricated Objects or Options,32767
378,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,404
379,Visual Perception Failure,Action / Event Misperception,0.3,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,1112
380,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1294
381,Correct,N/A,0.4,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1782
382,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,931
383,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,981
384,Visual Perception Failure,Action / Event Misperception,0.3,Hallucination / Fabrication,Fabricated Causal Stories,1320
385,Correct,N/A,0.6,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1030
386,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.3,Hallucination / Fabrication,Fabricated Timeline or Events,1446
387,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1203
388,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1030
389,Visual Perception Failure,Object Presence / State Tracking Error,0.4,Incorrect but Confident Reasoning,Fabricated Timeline or Events,1476
390,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,1591
391,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,820
392,Visual Perception Failure,Action / Event Misperception,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1355
393,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,677
394,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2470
395,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,2946
396,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.25,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,3073
397,Visual Perception Failure,Action / Event Misperception,0.2,Incorrect but Confident Reasoning,Irrelevant Justification of Wrong Claims,595
398,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Under-Specified Grounding / Weak Localization,Temporal Imprecision or Misalignment,3195
399,Correct,N/A,0.4,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1733
400,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,3962
401,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,2183
402,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2116
403,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2825
404,Correct,N/A,0.4,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1068
405,Visual Perception Failure,Object Presence / State Tracking Error,0.3,Hallucination / Fabrication,Fabricated Objects or Options,904
406,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Hallucination / Fabrication,Fabricated Timeline or Events,8455
407,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1423
408,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.25,Hallucination / Fabrication,Fabricated Timeline or Events,5164
409,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,2133
410,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.5,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,997
411,Correct,N/A,0.4,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1050
412,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.15,Over-Verbose / Padding,Excessive Narrative Detail,5695
413,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1523
414,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1014
415,Visual Perception Failure,Action / Event Misperception,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,838
416,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2865
417,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,2076
418,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1362
419,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2271
420,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1814
421,Correct,N/A,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1668
422,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.2,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,370
423,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.1,Over-Verbose / Padding,Redundant Restatement,32767
424,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1472
425,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,984
426,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1204
427,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,755
428,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,996
429,Correct,N/A,0.8,Over-Verbose / Padding,Unnecessary Background & Commentary,1375
430,Correct,N/A,0.7,Over-Verbose / Padding,Unnecessary Background & Commentary,1114
431,Correct,N/A,0.7,Over-Verbose / Padding,Unnecessary Background & Commentary,1602
432,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1966
433,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,606
434,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,765
435,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,490
436,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,904
437,Visual Perception Failure,Action / Event Misperception,0.4,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,1477
438,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2244
439,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.4,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,1647
440,Correct,N/A,0.4,Over-Verbose / Padding,Excessive Narrative Detail,2283
441,Correct,N/A,0.8,Over-Verbose / Padding,Redundant Restatement,471
442,Correct,N/A,0.8,Over-Verbose / Padding,Excessive Narrative Detail,963
443,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Irrelevant / Off-Target Reasoning,Background That Misses the Key Distinction,505
444,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2529
445,Correct,N/A,0.1,Over-Verbose / Padding,Redundant Restatement,32767
446,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1343
447,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1339
448,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,2000
449,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,2599
450,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,617
451,Correct,N/A,0.7,Over-Verbose / Padding,Redundant Restatement,655
452,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,1459
453,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1889
454,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.5,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1356
455,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2592
456,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.05,Under-Specified Grounding / Weak Localization,Failure to Compare Key Moments,19073
457,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1562
458,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,483
459,Correct,N/A,0.3,Over-Verbose / Padding,Unnecessary Background & Commentary,790
460,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.05,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,32767
461,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Over-Verbose / Padding,Excessive Narrative Detail,32767
462,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1245
463,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.1,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,3359
464,Visual Perception Failure,Object / Attribute Misrecognition,0.1,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,718
465,Correct,N/A,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,2058
466,Correct,N/A,0.5,Over-Verbose / Padding,Excessive Narrative Detail,2072
467,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,963
