id,l1,l2,useful_ratio,waste_label
342,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucinated or Incorrect Reasoning
343,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Hallucinated or Incorrect Reasoning
344,Correct,N/A,0.15,Minor Redundancy and Repetition
345,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Speculative Guessing and Coordinate Padding
346,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.3,Hallucinated or Incorrect Reasoning
347,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,"Refusal, Denial, or Non-Engagement"
348,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.05,Hallucinated or Incorrect Reasoning
349,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,"Refusal, Denial, or Non-Engagement"
350,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Irrelevant or Off-Task Discussion
351,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.4,Speculative Guessing and Coordinate Padding
352,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.3,Hallucinated or Incorrect Reasoning
353,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.2,Overly Verbose but Largely Correct
354,Correct,N/A,0.4,Speculative Guessing and Coordinate Padding
355,Visual Perception Failure,Object / Attribute Misrecognition,0.3,"Refusal, Denial, or Non-Engagement"
356,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
357,Correct,N/A,0.8,Minor Redundancy and Repetition
358,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.25,Overly Verbose but Largely Correct
359,Visual Perception Failure,Object Presence / State Tracking Error,0.05,Hallucinated or Incorrect Reasoning
360,Correct,N/A,0.6,Minor Redundancy and Repetition
361,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.6,Hallucinated or Incorrect Reasoning
362,Correct,N/A,0.7,Irrelevant or Off-Task Discussion
363,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
364,Correct,N/A,0.8,Minor Redundancy and Repetition
365,Correct,N/A,0.9,Minor Redundancy and Repetition
366,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant or Off-Task Discussion
367,Visual Perception Failure,Action / Event Misperception,0.3,"Refusal, Denial, or Non-Engagement"
368,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.5,Overly Verbose but Largely Correct
369,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Overly Verbose but Largely Correct
370,Visual Perception Failure,Object Presence / State Tracking Error,0.4,Hallucinated or Incorrect Reasoning
371,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
372,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
373,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.4,Hallucinated or Incorrect Reasoning
374,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
375,Correct,N/A,0.9,Minor Redundancy and Repetition
376,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,"Refusal, Denial, or Non-Engagement"
377,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Hallucinated or Incorrect Reasoning
378,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Irrelevant or Off-Task Discussion
379,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
380,Correct,N/A,0.8,Minor Redundancy and Repetition
381,Correct,N/A,0.4,Irrelevant or Off-Task Discussion
382,Correct,N/A,0.9,Minor Redundancy and Repetition
383,Correct,N/A,0.9,Minor Redundancy and Repetition
384,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
385,Correct,N/A,0.6,Overly Verbose but Largely Correct
386,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.3,Irrelevant or Off-Task Discussion
387,Correct,N/A,0.8,Minor Redundancy and Repetition
388,Correct,N/A,0.9,Minor Redundancy and Repetition
389,Visual Perception Failure,Object Presence / State Tracking Error,0.4,Hallucinated or Incorrect Reasoning
390,Correct,N/A,0.6,Overly Verbose but Largely Correct
391,Correct,N/A,0.8,Minor Redundancy and Repetition
392,Visual Perception Failure,Action / Event Misperception,0.2,Irrelevant or Off-Task Discussion
393,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
394,Correct,N/A,0.7,Minor Redundancy and Repetition
395,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucinated or Incorrect Reasoning
396,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.25,Hallucinated or Incorrect Reasoning
397,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
398,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Overly Verbose but Largely Correct
399,Correct,N/A,0.4,Overly Verbose but Largely Correct
400,Correct,N/A,0.6,Overly Verbose but Largely Correct
401,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
402,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Irrelevant or Off-Task Discussion
403,Correct,N/A,0.9,Minor Redundancy and Repetition
404,Correct,N/A,0.4,Irrelevant or Off-Task Discussion
405,Visual Perception Failure,Object Presence / State Tracking Error,0.3,Hallucinated or Incorrect Reasoning
406,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Hallucinated or Incorrect Reasoning
407,Correct,N/A,0.7,Minor Redundancy and Repetition
408,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.25,Speculative Guessing and Coordinate Padding
409,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucinated or Incorrect Reasoning
410,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.5,Speculative Guessing and Coordinate Padding
411,Correct,N/A,0.4,Overly Verbose but Largely Correct
412,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.15,Overly Verbose but Largely Correct
413,Correct,N/A,0.6,Speculative Guessing and Coordinate Padding
414,Correct,N/A,0.9,Minor Redundancy and Repetition
415,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
416,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant or Off-Task Discussion
417,Correct,N/A,0.6,Overly Verbose but Largely Correct
418,Correct,N/A,0.7,Minor Redundancy and Repetition
419,Correct,N/A,0.8,Minor Redundancy and Repetition
420,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Speculative Guessing and Coordinate Padding
421,Correct,N/A,0.4,Overly Verbose but Largely Correct
422,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.2,Hallucinated or Incorrect Reasoning
423,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.1,Minor Redundancy and Repetition
424,Correct,N/A,0.8,Overly Verbose but Largely Correct
425,Correct,N/A,0.9,Minor Redundancy and Repetition
426,Correct,N/A,0.7,Overly Verbose but Largely Correct
427,Correct,N/A,0.9,Minor Redundancy and Repetition
428,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
429,Correct,N/A,0.8,Overly Verbose but Largely Correct
430,Correct,N/A,0.7,Overly Verbose but Largely Correct
431,Correct,N/A,0.7,Overly Verbose but Largely Correct
432,Correct,N/A,0.9,Overly Verbose but Largely Correct
433,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant or Off-Task Discussion
434,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
435,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,"Refusal, Denial, or Non-Engagement"
436,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
437,Visual Perception Failure,Action / Event Misperception,0.4,Hallucinated or Incorrect Reasoning
438,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Irrelevant or Off-Task Discussion
439,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.4,Speculative Guessing and Coordinate Padding
440,Correct,N/A,0.4,Minor Redundancy and Repetition
441,Correct,N/A,0.8,Minor Redundancy and Repetition
442,Correct,N/A,0.8,Minor Redundancy and Repetition
443,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
444,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Irrelevant or Off-Task Discussion
445,Correct,N/A,0.1,Minor Redundancy and Repetition
446,Correct,N/A,0.6,Minor Redundancy and Repetition
447,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
448,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Overly Verbose but Largely Correct
449,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
450,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,"Refusal, Denial, or Non-Engagement"
451,Correct,N/A,0.7,Minor Redundancy and Repetition
452,Correct,N/A,0.6,Minor Redundancy and Repetition
453,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucinated or Incorrect Reasoning
454,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.5,Hallucinated or Incorrect Reasoning
455,Correct,N/A,0.7,Minor Redundancy and Repetition
456,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.05,Irrelevant or Off-Task Discussion
457,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
458,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant or Off-Task Discussion
459,Correct,N/A,0.3,Overly Verbose but Largely Correct
460,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.05,Irrelevant or Off-Task Discussion
461,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Overly Verbose but Largely Correct
462,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
463,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.1,Irrelevant or Off-Task Discussion
464,Visual Perception Failure,Object / Attribute Misrecognition,0.1,"Refusal, Denial, or Non-Engagement"
465,Correct,N/A,0.4,Overly Verbose but Largely Correct
466,Correct,N/A,0.5,Overly Verbose but Largely Correct
467,Correct,N/A,0.9,Minor Redundancy and Repetition
468,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
469,Correct,N/A,0.7,Minor Redundancy and Repetition
470,Correct,N/A,0.95,Minor Redundancy and Repetition
471,Correct,N/A,0.7,Overly Verbose but Largely Correct
472,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
473,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
474,Correct,N/A,0.7,Overly Verbose but Largely Correct
475,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant or Off-Task Discussion
476,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
477,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Speculative Guessing and Coordinate Padding
478,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant or Off-Task Discussion
479,Correct,N/A,0.6,Minor Redundancy and Repetition
480,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,"Refusal, Denial, or Non-Engagement"
481,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
482,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Irrelevant or Off-Task Discussion
483,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
484,Correct,N/A,0.4,Overly Verbose but Largely Correct
485,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant or Off-Task Discussion
486,Correct,N/A,0.4,Overly Verbose but Largely Correct
487,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
488,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Speculative Guessing and Coordinate Padding
489,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Overly Verbose but Largely Correct
490,Correct,N/A,0.4,Overly Verbose but Largely Correct
491,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Irrelevant or Off-Task Discussion
492,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
493,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
494,Correct,N/A,0.5,Overly Verbose but Largely Correct
495,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.15,Minor Redundancy and Repetition
496,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Overly Verbose but Largely Correct
497,Correct,N/A,0.7,Overly Verbose but Largely Correct
498,Correct,N/A,0.6,Overly Verbose but Largely Correct
499,Correct,N/A,0.4,Overly Verbose but Largely Correct
500,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant or Off-Task Discussion
501,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Irrelevant or Off-Task Discussion
502,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Overly Verbose but Largely Correct
503,Correct,N/A,0.6,Minor Redundancy and Repetition
504,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
505,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
506,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
507,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Irrelevant or Off-Task Discussion
508,Visual Perception Failure,Action / Event Misperception,0.2,Irrelevant or Off-Task Discussion
509,Correct,N/A,0.4,Minor Redundancy and Repetition
510,Correct,N/A,0.4,Speculative Guessing and Coordinate Padding
511,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Speculative Guessing and Coordinate Padding
512,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.05,Minor Redundancy and Repetition
513,Visual Perception Failure,Object Presence / State Tracking Error,0.3,"Refusal, Denial, or Non-Engagement"
514,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Speculative Guessing and Coordinate Padding
515,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Hallucinated or Incorrect Reasoning
516,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
517,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
518,Visual Perception Failure,Object / Attribute Misrecognition,0.2,"Refusal, Denial, or Non-Engagement"
519,Visual Perception Failure,Action / Event Misperception,0.4,Irrelevant or Off-Task Discussion
520,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
521,Correct,N/A,0.4,Overly Verbose but Largely Correct
522,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Irrelevant or Off-Task Discussion
523,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant or Off-Task Discussion
524,Correct,N/A,0.7,Overly Verbose but Largely Correct
525,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Hallucinated or Incorrect Reasoning
526,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Hallucinated or Incorrect Reasoning
527,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.02,Minor Redundancy and Repetition
528,Correct,N/A,0.05,Minor Redundancy and Repetition
529,Visual Perception Failure,Object Presence / State Tracking Error,0.4,Hallucinated or Incorrect Reasoning
530,Correct,N/A,0.6,Overly Verbose but Largely Correct
531,Correct,N/A,0.7,Overly Verbose but Largely Correct
532,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.1,Hallucinated or Incorrect Reasoning
533,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
534,Correct,N/A,0.6,Overly Verbose but Largely Correct
535,Correct,N/A,0.7,Overly Verbose but Largely Correct
536,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.1,Hallucinated or Incorrect Reasoning
537,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
538,Correct,N/A,0.8,Minor Redundancy and Repetition
539,Correct,N/A,0.5,Overly Verbose but Largely Correct
540,Correct,N/A,0.7,Minor Redundancy and Repetition
541,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
542,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
543,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
544,Correct,N/A,0.4,Irrelevant or Off-Task Discussion
545,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Overly Verbose but Largely Correct
546,Correct,N/A,0.4,Minor Redundancy and Repetition
547,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Hallucinated or Incorrect Reasoning
548,Correct,N/A,0.7,Irrelevant or Off-Task Discussion
549,Correct,N/A,0.8,Minor Redundancy and Repetition
550,Correct,N/A,0.7,Overly Verbose but Largely Correct
551,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
552,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Hallucinated or Incorrect Reasoning
553,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Speculative Guessing and Coordinate Padding
554,Correct,N/A,0.7,Overly Verbose but Largely Correct
555,Correct,N/A,0.9,None
556,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Speculative Guessing and Coordinate Padding
557,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.5,Overly Verbose but Largely Correct
558,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Overly Verbose but Largely Correct
559,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant or Off-Task Discussion
560,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Irrelevant or Off-Task Discussion
561,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucinated or Incorrect Reasoning
562,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant or Off-Task Discussion
563,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucinated or Incorrect Reasoning
564,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Hallucinated or Incorrect Reasoning
565,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucinated or Incorrect Reasoning
566,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant or Off-Task Discussion
567,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.7,Hallucinated or Incorrect Reasoning
568,Correct,N/A,0.9,Overly Verbose but Largely Correct
569,Correct,N/A,0.9,Overly Verbose but Largely Correct
570,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant or Off-Task Discussion
571,Visual Perception Failure,Action / Event Misperception,0.2,"Refusal, Denial, or Non-Engagement"
572,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
573,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Hallucinated or Incorrect Reasoning
574,Correct,N/A,0.7,Overly Verbose but Largely Correct
575,Correct,N/A,0.8,Overly Verbose but Largely Correct
576,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant or Off-Task Discussion
577,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.2,Speculative Guessing and Coordinate Padding
578,Correct,N/A,0.9,Minor Redundancy and Repetition
579,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
580,Correct,N/A,0.9,Minor Redundancy and Repetition
581,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.2,Hallucinated or Incorrect Reasoning
582,Correct,N/A,0.9,Minor Redundancy and Repetition
583,Visual Perception Failure,Action / Event Misperception,0.4,Hallucinated or Incorrect Reasoning
584,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
585,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
586,Correct,N/A,0.9,Minor Redundancy and Repetition
587,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
588,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
589,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Irrelevant or Off-Task Discussion
590,Visual Perception Failure,Object Presence / State Tracking Error,0.2,Irrelevant or Off-Task Discussion
591,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
592,Correct,N/A,0.8,Minor Redundancy and Repetition
593,Correct,N/A,0.9,Minor Redundancy and Repetition
594,Correct,N/A,0.9,Minor Redundancy and Repetition
595,Correct,N/A,0.9,Minor Redundancy and Repetition
596,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Hallucinated or Incorrect Reasoning
597,Correct,N/A,0.6,Minor Redundancy and Repetition
598,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
599,Correct,N/A,0.1,Minor Redundancy and Repetition
600,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucinated or Incorrect Reasoning
601,Correct,N/A,0.4,Overly Verbose but Largely Correct
602,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Hallucinated or Incorrect Reasoning
603,Correct,N/A,0.6,Overly Verbose but Largely Correct
604,Correct,N/A,0.5,Minor Redundancy and Repetition
605,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,"Refusal, Denial, or Non-Engagement"
606,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
607,Correct,N/A,0.4,Overly Verbose but Largely Correct
608,Correct,N/A,0.7,Overly Verbose but Largely Correct
609,Correct,N/A,0.7,Speculative Guessing and Coordinate Padding
610,Correct,N/A,0.6,Irrelevant or Off-Task Discussion
611,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Hallucinated or Incorrect Reasoning
612,Correct,N/A,0.8,Minor Redundancy and Repetition
613,Correct,N/A,0.6,Minor Redundancy and Repetition
614,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.05,Irrelevant or Off-Task Discussion
615,Correct,N/A,0.6,Overly Verbose but Largely Correct
616,Correct,N/A,0.8,Overly Verbose but Largely Correct
617,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Irrelevant or Off-Task Discussion
618,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.7,Hallucinated or Incorrect Reasoning
619,Correct,N/A,0.6,Overly Verbose but Largely Correct
620,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.6,Irrelevant or Off-Task Discussion
621,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.5,Hallucinated or Incorrect Reasoning
622,Correct,N/A,1.0,None
623,Correct,N/A,0.9,Minor Redundancy and Repetition
624,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Hallucinated or Incorrect Reasoning
625,Visual Perception Failure,Action / Event Misperception,0.4,Hallucinated or Incorrect Reasoning
626,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.6,Minor Redundancy and Repetition
627,Correct,N/A,0.7,Speculative Guessing and Coordinate Padding
628,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Hallucinated or Incorrect Reasoning
629,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Hallucinated or Incorrect Reasoning
630,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.25,Minor Redundancy and Repetition
631,Correct,N/A,0.8,Minor Redundancy and Repetition
632,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Irrelevant or Off-Task Discussion
633,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Irrelevant or Off-Task Discussion
634,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.15,Minor Redundancy and Repetition
635,Visual Perception Failure,Object / Attribute Misrecognition,0.5,Irrelevant or Off-Task Discussion
636,Correct,N/A,0.9,Minor Redundancy and Repetition
637,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
638,Correct,N/A,0.4,Hallucinated or Incorrect Reasoning
639,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.05,Minor Redundancy and Repetition
640,Correct,N/A,0.8,Minor Redundancy and Repetition
641,Visual Perception Failure,Object Presence / State Tracking Error,0.4,Hallucinated or Incorrect Reasoning
642,Correct,N/A,0.8,Minor Redundancy and Repetition
643,Correct,N/A,0.9,Minor Redundancy and Repetition
644,Correct,N/A,0.8,Minor Redundancy and Repetition
645,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Irrelevant or Off-Task Discussion
646,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Hallucinated or Incorrect Reasoning
647,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.6,Hallucinated or Incorrect Reasoning
648,Correct,N/A,0.25,Overly Verbose but Largely Correct
649,Correct,N/A,0.9,Minor Redundancy and Repetition
650,Correct,N/A,0.5,Overly Verbose but Largely Correct
651,Visual Perception Failure,Counting / Aggregation Reasoning Error,0.4,Hallucinated or Incorrect Reasoning
652,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Hallucinated or Incorrect Reasoning
653,Correct,N/A,0.8,Minor Redundancy and Repetition
654,Correct,N/A,0.9,Minor Redundancy and Repetition
655,Correct,N/A,0.7,Minor Redundancy and Repetition
656,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant or Off-Task Discussion
657,Correct,N/A,0.7,Overly Verbose but Largely Correct
658,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
659,Correct,N/A,0.95,Overly Verbose but Largely Correct
660,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant or Off-Task Discussion
